City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Tacoronte,ES,2020-04-20 06:47:18,28.48,-16.41,57.99,93,75,25.28,broken clouds,0.0,0.0
53,Moree,AU,2020-04-20 06:47:18,-29.47,149.85,75.2,25,77,11.41,broken clouds,0.0,0.0
54,Lotofaga,WS,2020-04-20 06:47:18,-13.98,-171.86,80.01,94,54,17.76,light rain,0.11023622047244094,0.0
55,Mataura,NZ,2020-04-20 06:47:19,-46.19,168.86,54.0,83,66,4.0,broken clouds,0.0,0.0
56,Contamana,PE,2020-04-20 06:47:19,-7.33,-75.02,69.03,73,1,0.67,clear sky,0.0,0.0
57,Bundaberg,AU,2020-04-20 06:43:54,-24.85,152.35,84.2,32,0,5.82,clear sky,0.0,0.0
58,Victoria,HK,2020-04-20 06:43:53,22.29,114.16,88.0,44,13,7.0,few clouds,0.0,0.0
59,Jamestown,US,2020-04-20 06:47:19,42.1,-79.24,33.8,55,1,4.7,clear sky,0.0,0.0
60,East London,ZA,2020-04-20 06:46:29,-33.02,27.91,73.4,64,0,10.29,clear sky,0.0,0.0
61,Erdenet,MN,2020-04-20 06:47:20,49.03,104.08,33.01,37,51,14.03,broken clouds,0.0,0.0
62,Udachnyy,RU,2020-04-20 06:47:20,66.42,112.4,32.27,83,29,7.61,scattered clouds,0.0,0.0
63,Atuona,PF,2020-04-20 06:47:20,-9.8,-139.03,82.62,76,71,15.99,light rain,0.00826771653543307,0.0
64,Saint-Philippe,RE,2020-04-20 06:47:20,-21.36,55.77,77.0,78,75,27.51,broken clouds,0.0,0.0
65,Pulaski,US,2020-04-20 06:47:20,34.77,-92.3,54.0,93,20,4.5,few clouds,0.0,0.0
66,Leningradskiy,RU,2020-04-20 06:47:21,69.38,178.42,11.59,94,95,8.34,overcast clouds,0.0,0.0
67,Ocos,GT,2020-04-20 06:47:21,14.51,-92.19,81.64,70,59,3.4,broken clouds,0.0,0.0
68,Alofi,NU,2020-04-20 06:47:21,-19.06,-169.92,77.0,88,5,10.29,light rain,0.007086614173228346,0.0
69,Kathmandu,NP,2020-04-20 06:43:42,27.72,85.32,78.8,34,20,3.36,few clouds,0.0,0.0
70,Chapais,CA,2020-04-20 06:47:21,49.78,-74.85,5.0,71,90,8.05,overcast clouds,0.0,0.0
71,Makakilo City,US,2020-04-20 06:47:22,21.35,-158.09,77.0,69,40,3.36,scattered clouds,0.0,0.0
72,Chingirlau,KZ,2020-04-20 06:47:22,51.09,54.08,54.14,58,100,4.97,overcast clouds,0.0,0.0
73,Cherskiy,RU,2020-04-20 06:47:22,68.75,161.3,13.89,95,100,5.99,overcast clouds,0.0,0.0
74,Svolvaer,NO,2020-04-20 06:47:22,68.23,14.57,43.0,100,75,12.75,broken clouds,0.0,0.0
75,Altay,CN,2020-04-20 06:47:22,47.87,88.12,58.87,28,0,1.79,clear sky,0.0,0.0
76,Conceicao Do Araguaia,BR,2020-04-20 06:47:23,-8.26,-49.26,77.0,88,40,6.93,scattered clouds,0.0,0.0
77,Tazovskiy,RU,2020-04-20 06:47:23,67.47,78.7,35.17,95,90,10.96,overcast clouds,0.0,0.0
78,Half Moon Bay,US,2020-04-20 06:47:23,37.46,-122.43,55.4,76,90,3.36,overcast clouds,0.0,0.0
79,Artesia,US,2020-04-20 06:47:23,33.87,-118.08,61.0,67,90,11.41,overcast clouds,0.0,0.0
80,Vaini,TO,2020-04-20 06:47:23,-21.2,-175.2,78.8,78,40,9.17,scattered clouds,0.0,0.0
81,Hermanus,ZA,2020-04-20 06:47:23,-34.42,19.23,62.01,75,11,11.99,few clouds,0.0,0.0
82,Minsk,BY,2020-04-20 06:46:35,53.9,27.57,37.4,74,0,8.95,clear sky,0.0,0.0
83,Neringa,LT,2020-04-20 06:45:17,55.37,21.06,44.6,70,20,11.18,few clouds,0.0,0.0
84,Duldurga,RU,2020-04-20 06:47:24,50.68,113.59,30.25,51,97,16.8,overcast clouds,0.0,0.0
85,Thompson,CA,2020-04-20 06:47:24,55.74,-97.86,12.2,92,90,3.36,light snow,0.0,0.0
86,Arraial Do Cabo,BR,2020-04-20 06:47:24,-22.97,-42.03,70.61,81,46,7.05,scattered clouds,0.0,0.0
87,Katsuura,JP,2020-04-20 06:47:25,35.13,140.3,59.0,100,75,6.93,light intensity shower rain,0.0,0.0
88,Fairbanks,US,2020-04-20 06:47:25,64.84,-147.72,39.99,100,90,6.38,light rain,0.0,0.0
89,Seguela,CI,2020-04-20 06:47:25,7.96,-6.67,73.53,81,84,5.59,broken clouds,0.0,0.0
90,Airai,TL,2020-04-20 06:47:25,-8.93,125.41,72.64,47,30,3.29,scattered clouds,0.0,0.0
91,Asaba,NG,2020-04-20 06:47:25,6.2,6.73,76.06,89,99,3.11,overcast clouds,0.0,0.0
92,Lebu,CL,2020-04-20 06:47:25,-37.62,-73.65,55.72,69,100,9.55,overcast clouds,0.0,0.0
93,San Patricio,MX,2020-04-20 06:47:26,19.22,-104.7,73.06,78,0,6.85,clear sky,0.0,0.0
94,Great Yarmouth,GB,2020-04-20 06:47:26,52.61,1.73,52.0,75,0,5.99,clear sky,0.0,0.0
95,Saint-Pierre,RE,2020-04-20 06:47:26,-21.34,55.48,77.0,78,75,27.51,broken clouds,0.0,0.0
96,Saint George,US,2020-04-20 06:47:26,37.1,-113.58,61.0,48,75,4.7,broken clouds,0.0,0.0
97,Meulaboh,ID,2020-04-20 06:47:26,4.14,96.13,88.2,62,9,4.36,light rain,0.00826771653543307,0.0
98,Jinhua,CN,2020-04-20 06:47:26,29.11,119.65,76.91,52,39,4.65,scattered clouds,0.0,0.0
99,Point Fortin,TT,2020-04-20 06:47:27,10.18,-61.68,75.2,83,20,11.52,few clouds,0.0,0.0
100,Svetlaya,RU,2020-04-20 06:47:27,46.54,138.33,41.92,78,100,8.23,overcast clouds,0.0,0.0
101,Gravelbourg,CA,2020-04-20 06:47:27,49.88,-106.55,40.41,58,61,6.78,broken clouds,0.0,0.0
102,Dikson,RU,2020-04-20 06:47:27,73.51,80.55,33.03,96,93,14.9,overcast clouds,0.0,0.0
103,Barrow,US,2020-04-20 06:47:11,71.29,-156.79,8.6,78,90,5.82,overcast clouds,0.0,0.0
104,Rocha,UY,2020-04-20 06:47:28,-34.48,-54.33,58.48,91,0,5.84,clear sky,0.0,0.0
105,Rongcheng,CN,2020-04-20 06:47:28,30.63,117.85,69.01,81,70,7.72,broken clouds,0.0,0.0
106,Avarua,CK,2020-04-20 06:47:28,-21.21,-159.78,80.6,74,4,9.17,clear sky,0.0,0.0
107,Berlevag,NO,2020-04-20 06:47:28,70.86,29.09,39.2,80,75,26.4,broken clouds,0.0,0.0
108,Puerto Escondido,MX,2020-04-20 06:47:28,15.85,-97.07,78.08,71,8,2.21,clear sky,0.0,0.0
109,Albany,US,2020-04-20 06:45:23,42.6,-73.97,45.0,61,96,8.14,light rain,0.011811023622047244,0.0
110,Carbonia,IT,2020-04-20 06:47:29,39.17,8.52,66.2,72,75,25.28,broken clouds,0.0,0.0
111,Bilibino,RU,2020-04-20 06:47:29,68.05,166.44,10.44,88,44,4.25,scattered clouds,0.0,0.0
112,Zeya,RU,2020-04-20 06:47:29,53.75,127.27,29.75,85,100,17.58,overcast clouds,0.0,0.0
113,Westport,US,2020-04-20 06:47:29,41.14,-73.36,53.01,66,40,5.82,scattered clouds,0.0,0.0
114,Caravelas,BR,2020-04-20 06:47:29,-17.71,-39.25,74.23,80,37,11.07,scattered clouds,0.0,0.0
115,Tecoanapa,MX,2020-04-20 06:47:30,16.52,-98.75,77.02,78,0,3.58,clear sky,0.0,0.0
116,Kaitangata,NZ,2020-04-20 06:47:30,-46.28,169.85,55.99,66,74,8.01,broken clouds,0.0,0.0
117,Ancud,CL,2020-04-20 06:47:30,-41.87,-73.82,41.0,100,20,4.21,few clouds,0.0,0.0
118,Dingle,PH,2020-04-20 06:47:30,11.0,122.67,90.52,57,86,14.45,light rain,0.004330708661417323,0.0
119,Alice Springs,AU,2020-04-20 06:47:30,-23.7,133.88,98.6,14,40,5.82,scattered clouds,0.0,0.0
120,Skuodas,LT,2020-04-20 06:47:31,56.27,21.53,44.6,87,0,2.24,clear sky,0.0,0.0
121,Mahebourg,MU,2020-04-20 06:47:31,-20.41,57.7,77.0,83,75,14.99,light intensity shower rain,0.0,0.0
122,Laborie,LC,2020-04-20 06:47:31,13.75,-60.98,75.99,72,12,8.01,few clouds,0.0,0.0
123,Ekhabi,RU,2020-04-20 06:47:31,53.51,142.97,30.78,99,100,14.2,light snow,0.0,0.027559055118110236
124,Pisco,PE,2020-04-20 06:47:31,-13.7,-76.22,66.99,82,0,10.29,clear sky,0.0,0.0
125,Bluff,NZ,2020-04-20 06:47:32,-46.6,168.33,54.0,83,63,4.0,light rain,0.014960629921259844,0.0
